"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.94;0.3;0.7;48585.0239292309;48585.0239292309;27357.609855976;2028983.316716;0.0134834079859541;0.783333333333333;0.3;0.7;22672.5268066281;0.39674527268374;0.60325472731626;0.0111743288472794;0.466656697332352;0.828746623918812;1;2178637.18558723;1e+05;0.0459002539117343;0.931308494199369;0.27357609855976;0.293754540266433;4600.77279486477;0.0404930871180419;FALSE;FALSE
0.95;0.3;0.7;48338.9619231039;48338.9619231039;27134.2657103235;2027405.30584836;0.0133837401096123;0.791666666666667;0.3;0.7;22710.8665799187;0.397377953634539;0.602622046365461;0.0112019370346944;0.469825285368072;0.836981063809592;1;2178637.18558723;1e+05;0.0459002539117343;0.930584183204368;0.271342657103235;0.291583138850367;4474.68317661224;0.0393833261878174;FALSE;FALSE
0.96;0.3;0.7;48096.379243879;48096.379243879;26914.2555494921;2025827.70197156;0.0132855600322273;0.8;0.3;0.7;22748.1556063904;0.398008951995609;0.601991048004391;0.0112290673013562;0.472970231107064;0.84520842735402;1;2178637.18558723;1e+05;0.0459002539117343;0.929860059019196;0.269142555494921;0.289444151175618;4351.74326949894;0.0383012870194022;FALSE;FALSE
0.97;0.3;0.7;47857.1969656249;47857.1969656249;26697.5048307894;2024250.5016786;0.0131888344889383;0.808333333333333;0.3;0.7;22784.4201336363;0.398638272988157;0.601361727011843;0.0112557314990128;0.476091822720039;0.853428823331824;1;2178637.18558723;1e+05;0.0459002539117343;0.929136120080032;0.266975048307894;0.287336852521563;4231.85311444353;0.0372460898362957;FALSE;FALSE
0.98;0.3;0.7;47621.3385123757;47621.3385123757;26483.9412112661;2022673.70152165;0.0130935311965258;0.816666666666667;0.3;0.7;22819.6855762566;0.399265921967784;0.600734078032216;0.0112819411055226;0.479190343848196;0.86164235882495;1;2178637.18558723;1e+05;0.0459002539117343;0.928412364804313;0.264839412112661;0.285260539553976;4114.91656872227;0.0362168884511591;FALSE;FALSE
0.99;0.3;0.7;47388.7295725764;47388.7295725764;26273.4944678386;2021097.29801716;0.0129996188177653;0.825;0.3;0.7;22853.9765476627;0.399891904420756;0.600108095579244;0.0113077072390745;0.482266073680273;0.86984913923948;1;2178637.18558723;1e+05;0.0459002539117343;0.927688791593078;0.262734944678386;0.283214529548431;4000.84113635692;0.0352128687729967;FALSE;FALSE
1;0.3;0.7;47159.2980172;47159.2980172;26066.0964208364;2019521.28765072;0.0129070669273106;0.833333333333333;0.3;0.7;22887.3168904656;0.40051622596034;0.59948377403966;0.0113330406717773;0.485319287028363;0.878049268327353;1;2178637.18558723;1e+05;0.0459002539117343;0.926965398833206;0.260660964208364;0.28119815964702;3889.537807087;0.0342332473898922;FALSE;FALSE
1.01;0.3;0.7;46932.9738213548;46932.9738213548;25861.6808608071;2017945.6668817;0.0128158459790301;0.841666666666667;0.3;0.7;22919.7297055247;0.40113889232322;0.59886110767678;0.011357951842649;0.488350254402504;0.886242848207872;1;2178637.18558723;1e+05;0.0459002539117343;0.926242184899541;0.258616808608071;0.279210786146736;3780.92090344053;0.0332772702230219;FALSE;FALSE
1.02;0.3;0.7;46709.6889892116;46709.6889892116;25660.1834784184;2016370.4321477;0.0127259272747255;0.85;0.3;0.7;22951.23737972;0.401759909365982;0.598240090634018;0.0113824508700388;0.491359242084035;0.89442997938901;1;2178637.18558723;1e+05;0.0459002539117343;0.925519148156928;0.256601834784184;0.277251783817957;3674.90793545048;0.0323442112479613;FALSE;FALSE
1.03;0.3;0.7;46489.3774820881;46489.3774820881;25461.5417973068;2014795.57986873;0.0126372829341653;0.858333333333333;0.3;0.7;22981.8616125154;0.402379283061665;0.597620716938335;0.0114065475635065;0.494346512197763;0.902610760788507;1;2178637.18558723;1e+05;0.0459002539117343;0.924796286962148;0.254615417973068;0.275320545251594;3571.41946258214;0.0314333712794569;FALSE;FALSE
