"SCENARIO","OM","MP","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"sc000994","om006","mp0029","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.2,0.25,"nin","none"
"sc000995","om006","mp0030","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.2,0.25,"nin","none"
"sc000996","om006","mp0031","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.2,0.25,"nin","none"
"sc000997","om006","mp0032","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.2,0.25,"nin","none"
"sc000998","om006","mp0033","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.2,0.25,"nin","none"
"sc000999","om006","mp0034","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.2,0.25,"nin","none"
"sc001000","om006","mp0035","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.2,0.25,"nin","none"
"sc001001","om006","mp0036","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.2,0.25,"nin","none"
"sc001002","om006","mp0037","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.2,0.25,"nin","none"
"sc001003","om006","mp0038","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.5,0.5,"nin","none"
"sc001004","om006","mp0039","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.5,0.5,"nin","none"
"sc001005","om006","mp0040","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.5,0.5,"nin","none"
"sc001006","om006","mp0041","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.5,0.5,"nin","none"
"sc001007","om006","mp0042","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.5,0.5,"nin","none"
"sc001008","om006","mp0043","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.5,0.5,"nin","none"
"sc001009","om006","mp0044","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.5,0.5,"nin","none"
"sc001010","om006","mp0045","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.5,0.5,"nin","none"
"sc001011","om006","mp0046","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.5,0.5,"nin","none"
"sc001012","om006","mp0047","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.5,0.5,"nin","none"
"sc001013","om006","mp0048","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.5,0.5,"nin","none"
"sc001014","om006","mp0049","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.5,0.5,"nin","none"
"sc001015","om006","mp0050","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.5,1,"nin","none"
"sc001016","om006","mp0051","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.5,1,"nin","none"
"sc001017","om006","mp0052","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.5,1,"nin","none"
"sc001018","om006","mp0053","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.5,1,"nin","none"
"sc001019","om006","mp0054","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.5,1,"nin","none"
"sc001020","om006","mp0055","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.5,1,"nin","none"
"sc001021","om006","mp0056","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.5,1,"nin","none"
"sc001022","om006","mp0057","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.5,1,"nin","none"
"sc001023","om006","mp0058","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.5,1,"nin","none"
"sc001024","om006","mp0059","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.5,1,"nin","none"
"sc001025","om006","mp0060","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.5,1,"nin","none"
"sc001026","om006","mp0061","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.5,1,"nin","none"
"sc001027","om006","mp0062","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.5,1.5,"nin","none"
"sc001028","om006","mp0063","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.5,1.5,"nin","none"
"sc001029","om006","mp0064","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.5,1.5,"nin","none"
"sc001030","om006","mp0065","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.5,1.5,"nin","none"
"sc001031","om006","mp0066","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.5,1.5,"nin","none"
"sc001032","om006","mp0067","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.5,1.5,"nin","none"
"sc001033","om006","mp0068","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.5,1.5,"nin","none"
"sc001034","om006","mp0069","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.5,1.5,"nin","none"
"sc001035","om006","mp0070","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.5,1.5,"nin","none"
"sc001036","om006","mp0071","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.5,1.5,"nin","none"
"sc001037","om006","mp0072","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.5,1.5,"nin","none"
"sc001038","om006","mp0073","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.5,1.5,"nin","none"
"sc001039","om006","mp0074","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.8,0.8,"nin","none"
"sc001040","om006","mp0075","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.8,0.8,"nin","none"
"sc001041","om006","mp0076","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.8,0.8,"nin","none"
"sc001042","om006","mp0077","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.8,0.8,"nin","none"
"sc001043","om006","mp0078","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.8,0.8,"nin","none"
"sc001044","om006","mp0079","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.8,0.8,"nin","none"
"sc001045","om006","mp0080","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.8,0.8,"nin","none"
"sc001046","om006","mp0081","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.8,0.8,"nin","none"
"sc001047","om006","mp0082","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.8,0.8,"nin","none"
"sc001048","om006","mp0083","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.8,0.8,"nin","none"
"sc001049","om006","mp0084","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.8,0.8,"nin","none"
"sc001050","om006","mp0085","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.8,0.8,"nin","none"
"sc001051","om006","mp0086","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.8,2.75,"nin","none"
"sc001052","om006","mp0087","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.8,2.75,"nin","none"
"sc001053","om006","mp0088","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.8,2.75,"nin","none"
"sc001054","om006","mp0089","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.8,2.75,"nin","none"
"sc001055","om006","mp0090","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.8,2.75,"nin","none"
"sc001056","om006","mp0091","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.8,2.75,"nin","none"
"sc001057","om006","mp0092","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.8,2.75,"nin","none"
"sc001058","om006","mp0093","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.8,2.75,"nin","none"
"sc001059","om006","mp0094","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.8,2.75,"nin","none"
"sc001060","om006","mp0095","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.8,2.75,"nin","none"
"sc001061","om006","mp0096","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.8,2.75,"nin","none"
"sc001062","om006","mp0097","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.8,2.75,"nin","none"
"sc001063","om006","mp0098","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.8,4,"nin","none"
"sc001064","om006","mp0099","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.8,4,"nin","none"
"sc001065","om006","mp0100","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.8,4,"nin","none"
"sc001066","om006","mp0101","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.8,4,"nin","none"
"sc001067","om006","mp0102","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.8,4,"nin","none"
"sc001068","om006","mp0103","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.8,4,"nin","none"
"sc001069","om006","mp0104","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.8,4,"nin","none"
"sc001070","om006","mp0105","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.8,4,"nin","none"
"sc001071","om006","mp0106","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.8,4,"nin","none"
"sc001072","om006","mp0107","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.8,4,"nin","none"
"sc001073","om006","mp0108","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.8,4,"nin","none"
"sc001074","om006","mp0109","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.8,4,"nin","none"
"sc001075","om006","mp0110","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0.8,5.25,"nin","none"
"sc001076","om006","mp0111","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0.8,5.25,"nin","none"
"sc001077","om006","mp0112","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0.8,5.25,"nin","none"
"sc001078","om006","mp0113","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0.8,5.25,"nin","none"
"sc001079","om006","mp0114","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0.8,5.25,"nin","none"
"sc001080","om006","mp0115","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0.8,5.25,"nin","none"
"sc001081","om006","mp0116","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0.8,5.25,"nin","none"
"sc001082","om006","mp0117","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0.8,5.25,"nin","none"
"sc001083","om006","mp0118","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","2o3",0,0.8,5.25,"nin","none"
"sc001084","om006","mp0119","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o5",0,0.8,5.25,"nin","none"
"sc001085","om006","mp0120","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o5",0,0.8,5.25,"nin","none"
"sc001086","om006","mp0121","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o5",0,0.8,5.25,"nin","none"
"sc001087","om006","mp0122","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0,0,"nin","Imin"
"sc001088","om006","mp0123","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0,0,"nin","Imin"
"sc001089","om006","mp0124","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0,0,"nin","Imin"
"sc001090","om006","mp0125","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0,0,"nin","Imin"
"sc001091","om006","mp0126","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","2o3",0,0,0,"nin","Imin"
